Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.3874728,175.3349014,168.770832,163.2931056,164.5691531,145.0731777,139.0456794,134.3021583,133.9690437,133.6425169,146.5004794,143.9631336,142.9609058,145.8892959,140.0625978,138.6071512,151.5994741,147.6746749,163.4822167,162.5656566,147.6655186,142.1359955,144.9643575,,
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,11.15702658,12.55060956,14.22764443,26.03551143,26.94444795,32.67108262,27.14285731,20.98273546,24.11003307,25.07886423,21.72811007,27.06313745,32.86908104,27.69230879,28.86598016,26.94835767,28.08695666,26.48607983,24.71380403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.66342571,52.57960004,57.65517221,60.7821384,55.62861228,49.94903681,49.62540795,43.71040979,45.11419504,49.23589238,45.62117712
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5471095,150.3357947,105.3017426,103.9012268,103.5799244,106.5909621,94.62515933,108.0600679,121.3647079,122.4461423,104.12363,99.98250785,91.80009861,86.81193078,79.33292751,62.88852079,53.37015528,52.25682145,66.37801194,
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,47.4940925,46.10046628,44.81056161,40.4106676,38.11568302,35.93482397,31.63730488,32.15956392,36.89787074,40.06608646,39.4369634,36.07052006,108.7854722,80.51833277,53.10258474,47.61059487,44.89542726,45.42552335,48.13748354,51.01107175,63.4540744,66.49104645,68.52503792,67.02060851,67.04722821,70.87232827,74.26708173,83.20210079,77.45174791,75.09481921,76.54335462,81.21856471,76.51020102,75.87373352,75.40786559,71.80102967,74.80985673,78.19424864,76.80104689,76.72829956
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,58.81867778,59.18048254,61.9628764,80.94702671,73.79998763,81.73222375,76.02381435,80.21595689,77.74477767,80.09856725,84.71366232,86.33403569,81.90686542,74.31064797,70.89558309,63.92852413,56.41247382,58.82627017,60.5533538,65.80141245,66.0347692,68.97250397,64.17467428,60.3864162,58.85353863,61.69355098,61.26003814,68.11543438,66.23006122,66.28538548,70.66594331,72.31996425,73.65705785,79.93326033,85.05696732,89.10229688,89.62553136,93.50948445,97.9345692,89.91469963,88.96816729,92.24112895,93.97497909,94.30216513,93.27546031,88.9314707,82.66308178,86.07880261,86.26119545,87.77363914
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86457993,93.07165881,102.3001695,116.6226125,119.5528716,119.4706696,136.7981529,148.513544,153.4619444,143.8775318,151.6659536,164.249348,165.2759533,168.4923078,175.2213076,176.747648,175.0043504,159.7287735,160.9360929
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.20809609,11.98989231,14.07552565,15.78090624,11.12742968,10.37645741,11.64260542,12.49266037,11.88816489,12.79742663,10.33744408,12.61518892,14.0356432,13.32216851,13.19157986,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315145,18.13434587,19.77142309,21.50646841,23.33617884,23.35002797,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.22333196,30.70044602,32.39366596
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.33571855,100.8658552,101.0767594,107.9731463,112.4293646,86.11485707,79.22956012,78.54774505,71.84245188,70.56047914,72.23333023,69.86426639,73.98450184,80.0513676,73.07063399,70.13973858,61.03013798,56.97504709,54.54232796,57.27423574,64.64297597,69.43557366,75.96674339,76.55619579,75.61168484,71.59326535,75.91788003,86.83014139,91.1145293,91.43228557
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.5330739,205.6925996,200.5859375,221.0735586,227.6209677,216.5384615,247.7797513,160.1769912,156.4236111,155.7491289,174.689441,171.2948518,172.1183801,164.1452345,162.8834356,162.4584718,168.2389937,
