Date,Category,Net worth (% of Total),Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Top 1%,23.5,20.9,8.6,18.9,42.8,9,44.8,25.7,3.8,3.3,3.2,15
1989:Q3,Next 9%,37.3,34.5,30,22.2,39.6,40.2,34.8,37.8,16.1,17.7,7.2,41.5
1989:Q3,Next 40%,35.5,37.4,49.6,40.1,16.5,46.1,18.9,31.5,49.5,52.3,46.3,22.9
1989:Q3,Bottom 50%,3.7,7.3,11.8,18.8,1.1,4.7,1.5,5,30.6,26.7,43.3,20.6
1989:Q4,Top 1%,23.6,21,8.8,18.6,42.6,9.1,44.9,26.1,3.8,3.3,3.1,17
1989:Q4,Next 9%,37.3,34.3,30.3,22,39.3,39.7,34.3,37.5,15.4,17,7,39.1
1989:Q4,Next 40%,35.2,37.4,49.2,40.2,16.9,46.5,19.3,31.3,51.4,54.8,46.6,23.9
1989:Q4,Bottom 50%,3.9,7.3,11.7,19.2,1.2,4.7,1.5,5.1,29.4,25,43.3,20
1990:Q1,Top 1%,23.3,20.7,9,17.7,41.3,9,44.1,26.5,3.9,3.3,3.1,17.7
1990:Q1,Next 9%,37.1,34.2,29.9,22.1,39.8,40,34.5,37.2,15.9,17.5,7.1,38.5
1990:Q1,Next 40%,35.9,37.7,49.5,40.5,17.7,46.5,19.8,31.3,49.8,52.8,45.3,24.7
1990:Q1,Bottom 50%,3.8,7.4,11.6,19.7,1.3,4.6,1.6,5.1,30.4,26.3,44.5,19
1990:Q2,Top 1%,23.4,20.7,9.2,17.6,41.4,9,44.1,26.3,3.9,3.3,2.9,18.9
1990:Q2,Next 9%,37.3,34.4,30.2,21.8,39.7,40.2,34.7,37.1,15.8,17.3,7.4,37.2
1990:Q2,Next 40%,35.5,37.6,49.1,40.6,17.6,46.2,19.5,31.4,50.5,54,44.6,25.4
1990:Q2,Bottom 50%,3.8,7.4,11.5,20,1.3,4.6,1.7,5.2,29.8,25.4,45.1,18.5
1990:Q3,Top 1%,22.5,19.9,9.3,16.2,37.6,8.6,42.2,27.2,4.1,3.4,3.1,21.2
1990:Q3,Next 9%,37.5,34.5,29.7,22.7,41.6,40.7,35.5,36.6,15.7,17.7,6.7,33.9
